time	flux
2456896.02122	1.00005420108
2456896.02175	1.00005358559
2456896.02237	1.00005287524
2456896.0229	1.00005226955
2456896.02352	1.00005157054
2456896.02405	1.00005097458
2456896.02467	1.00005028684
2456896.0252	1.00004970052
2456896.02582	1.00004902397
2456896.02635	1.00004844722
2456896.02697	1.00004778175
2456896.0275	1.00004721451
2456896.02812	1.00004656004
2456896.02865	1.00004600222
2456896.02927	1.00004535867
2456896.02981	1.00004481018
2456896.03042	1.00004417745
2456896.03096	1.00004363824
2456896.03158	1.00004301625
2456896.03211	1.00004248622
2456896.03273	1.00004187487
2456896.03326	1.00004135396
2456896.03388	1.00004075315
2456896.03441	1.00004024127
2456896.03503	1.00003965093
2456896.03556	1.00003914801
2456896.03618	1.00003856804
2456896.03671	1.00003807399
2456896.03733	1.00003750429
2456896.03786	1.00003701904
2456896.03848	1.00003645953
2456896.03901	1.000035983
2456896.03963	1.00003543358
2456896.04016	1.00003496568
2456896.04078	1.00003442627
2456896.04131	1.00003396693
2456896.04193	1.00003343742
2456896.04246	1.00003298656
2456896.04308	1.00003246687
2456896.04362	1.00003202441
2456896.04423	1.00003151444
2456896.04477	1.0000310803
2456896.04538	1.00003057996
2456896.04592	1.00003015406
2456896.04654	1.00002966326
2456896.04707	1.00002924552
2456896.04769	1.00002876417
2456896.04822	1.00002835451
2456896.04884	1.0000278825
2456896.04937	1.00002748084
2456896.04999	1.0000270181
2456896.05052	1.00002662436
2456896.05114	1.00002617079
2456896.05167	1.00002578489
2456896.05229	1.0000253404
2456896.05282	1.00002496226
2456896.05344	1.00002452675
2456896.05397	1.0000241563
2456896.05459	1.00002372968
2456896.05512	1.00002336683
2456896.05574	1.00002294901
2456896.05627	1.00002259369
2456896.05689	1.00002218458
2456896.05742	1.00002183671
2456896.05804	1.00002143622
2456896.05858	1.00002109572
2456896.05919	1.00002070376
2456896.05973	1.00002037055
2456896.06035	1.00001998703
2456896.06088	1.00001966104
2456896.0615	1.00001928587
2456896.06203	1.00001896701
2456896.06265	1.0000186001
2456896.06318	1.00001828831
2456896.0638	1.00001792957
2456896.06433	1.00001762477
2456896.06495	1.00001727411
2456896.06548	1.00001697622
2456896.0661	1.00001663356
2456896.06663	1.0000163425
2456896.06725	1.00001600775
2456896.06778	1.00001572346
2456896.0684	1.00001539653
2456896.06893	1.00001511893
2456896.06955	1.00001479974
2456896.07008	1.00001452875
2456896.0707	1.00001421721
2456896.07123	1.00001395276
2456896.07185	1.00001364879
2456896.07239	1.00001339081
2456896.073	1.00001309433
2456896.07354	1.00001284275
2456896.07415	1.00001255367
2456896.07469	1.00001230842
2456896.07531	1.00001202666
2456896.07584	1.00001178767
2456896.07646	1.00001151315
2456896.07699	1.00001128035
2456896.07761	1.00001101299
2456896.07814	1.0000107863
2456896.07876	1.00001052603
2456896.07929	1.00001030539
2456896.07991	1.00001005212
2456896.08044	1.00000983747
2456896.08106	1.00000959112
2456896.08159	1.00000938239
2456896.08221	1.00000914289
2456896.08274	1.00000894001
2456896.08336	1.00000870729
2456896.08389	1.0000085102
2456896.08451	1.00000828417
2456896.08504	1.00000809281
2456896.08566	1.00000787341
2456896.08619	1.00000768771
2456896.08681	1.00000747486
2456896.08735	1.00000729476
2456896.08796	1.0000070884
2456896.0885	1.00000691384
2456896.08912	1.00000671388
2456896.08965	1.00000654481
2456896.09027	1.00000635119
2456896.0908	1.00000618754
2456896.09142	1.0000060002
2456896.09195	1.00000584191
2456896.09257	1.00000566078
2456896.0931	1.0000055078
2456896.09372	1.00000533282
2456896.09425	1.00000518508
2456896.09487	1.00000501618
2456896.0954	1.00000487364
2456896.09602	1.00000471075
2456896.09655	1.00000457336
2456896.09717	1.00000441643
2456896.0977	1.00000428412
2456896.09832	1.00000413308
2456896.09885	1.00000400582
2456896.09947	1.00000386062
2456896.1	1.00000373834
2456896.10062	1.00000359891
2456896.10116	1.00000348158
2456896.10177	0.999971461424
2456896.10231	0.999845666461
2456896.10293	0.999541744446
2456896.10346	0.999177893731
2456896.10408	0.998673329764
2456896.10461	0.998186010667
2456896.10523	0.997570441165
2456896.10576	0.997009783711
2456896.10638	0.996331153151
2456896.10691	0.99573434294
2456896.10753	0.995034459726
2456896.10806	0.994438038994
2456896.10868	0.993762424834
2456896.10921	0.993210469567
2456896.10983	0.99262119848
2456896.11036	0.992185875445
2456896.11098	0.991827632516
2456896.11151	0.991657005256
2456896.11213	0.991552183088
2456896.11266	0.991476209015
2456896.11328	0.991394348653
2456896.11381	0.991328585117
2456896.11443	0.991256490957
2456896.11496	0.991197875519
2456896.11558	0.99113304782
2456896.11612	0.991079973342
2456896.11673	0.991020947822
2456896.11727	0.990972402494
2456896.11789	0.990918209342
