alpha,Lambda,FpoFs
#alpha=-180
-175,1.2960, 0.000024373799
-175,1.2761, 0.000028686293
-175,1.2586, 0.000026302724
-175,1.2411, 0.000022719117
-175,1.2236, 0.000019099081
-175,1.2061, 0.000013540925
-175,1.1886, 0.000008081473
-175,1.1692, 0.000004382679
-175,1.1482, 0.000004593002
-175,1.1256, 0.000004573607
-175,1.1016, 0.000007385423
-175,1.0802, 0.000012645024
-175,1.0613, 0.000011560161
-175,1.0396, 0.000009733736
-175,1.0156, 0.000006912493
-175,0.9960, 0.000004899118
-175,0.9804, 0.000003936012
-175,0.9628, 0.000002820164
-175,0.9439, 0.000002198263
-175,0.9315, 0.000001373034
-175,0.9189, 0.000001940124
-175,0.9040, 0.000001460192
-175,0.8915, 0.000000992319
-175,0.8774, 0.000000847448
-175,0.8655, 0.000000677873
-175,0.8522, 0.000000529281
-175,0.8341, 0.000000293144
-175,0.8223, 0.000000195679
-175,0.8097, 0.000000125410
-175,0.7924, 0.000000121635
-175,0.7774, 0.000000141458
-175,0.7650, 0.000000118384
-175,0.7524, 0.000000043949
-175,0.7390, 0.000000058398
-175,0.7288, 0.000000111770
-175,0.7143, 0.000000179914
-175,0.6969, 0.000000082621
-175,0.6771, 0.000000133128
-175,0.6574, 0.000000072954
-175,0.6424, 0.000000065567
-175,0.6280, 0.000000081404
-175,0.6165, 0.000000062211
-175,0.6044, 0.000000045333
-175,0.5909, 0.000000058333
-175,0.5784, 0.000000030627
-175,0.5654, 0.000000036399
-175,0.5519, 0.000000027964
-175,0.5369, 0.000000015806
-175,0.5235, 0.000000023407
-175,0.5064, 0.000000018878
-175,0.4849, 0.000000012616
-175,0.4648, 0.000000014734
-175,0.4448, 0.000000011830
-175,0.4258, 0.000000006855
-175,0.4083, 0.000000004054
-175,0.3871, 0.000000008341
-175,0.3621, 0.000000009598
-175,0.3370, 0.000000007358
-175,0.3120, 0.000000007869
-175,0.2870, 0.000000005682
-175,0.2679,            Inf


#alpha=-170
-170,227.5313, 0.001606791345
-170,138.7925, 0.001342884357
-170,97.7517, 0.001248696195
-170,73.6920, 0.001154589020
-170,53.8793, 0.001099441455
-170,42.2119, 0.001034621132
-170,35.7526, 0.001008701940
-170,29.7000, 0.000969776615
-170,24.8385, 0.000927562657
-170,21.3950, 0.000878686648
-170,19.3817, 0.000865278642
-170,18.1802, 0.000862420438
-170,16.9779, 0.000843379473
-170,15.7766, 0.000823769532
-170,14.5751, 0.000813504611
-170,13.5879, 0.000799548571
-170,12.7869, 0.000791699567
-170,11.9861, 0.000782874449
-170,11.2918, 0.000760340940
-170,10.6918, 0.000615895288
-170,10.0913, 0.000703835086
-170,9.6479, 0.000672981130
-170,9.3475, 0.000601513088
-170,8.9952, 0.000534035632
-170,8.6730, 0.000458099209
-170,8.3452, 0.000388191893
-170,8.0743, 0.000352165834
-170,7.9039, 0.000331479415
