time	flux	error	model	residuals
2456895.94871	1.00028529761	4.0576982568e-05	1.00023646243	4.8823638636e-05
2456895.95048	1.00030882827	4.23561739355e-05	1.00023175447	7.70559471213e-05
2456895.95225	1.00024056667	4.05771013851e-05	1.00022710271	1.34608998168e-05
2456895.95403	1.00022300273	4.2356200173e-05	1.00022250741	4.95206980948e-07
2456895.9558	1.00013838865	4.05770204594e-05	1.00021796876	-7.95627714837e-05
2456895.95757	1.00026963701	4.23557021801e-05	1.00021348697	5.61380583279e-05
2456895.95934	1.0001977437	4.05770393147e-05	1.0002090622	-1.13161357867e-05
2456895.96111	1.00022855237	4.23560185816e-05	1.0002046946	2.38528882902e-05
2456895.96288	1.00011205292	4.05767815319e-05	1.0002003843	-8.83136764655e-05
2456895.96466	1.00026319604	4.23551940293e-05	1.00019610753	6.70753553849e-05
2456895.96644	1.00011518902	4.05759967599e-05	1.00019191245	-7.67087049388e-05
2456895.96821	1.00028394342	4.2354856776e-05	1.00018777491	9.61504550101e-05
2456895.96998	1.00013884607	4.05756903487e-05	1.00018369497	-4.48406683733e-05
2456896.00629	0.999893946811	4.23543138344e-05	1.00011262679	-0.000218655348415
2456896.00806	1.00020315696	4.0576744628e-05	1.00010976052	9.33861898413e-05
2456896.00985	1.00013313033	4.23562416934e-05	1.00010693237	2.61951510136e-05
2456896.01162	1.00011446674	4.05774717462e-05	1.00010417379	1.02918809951e-05
2456896.01339	1.00009587406	4.23568218762e-05	1.00010146838	-5.59374836257e-06
2456896.01516	1.0001320173	4.05775574361e-05	1.00009881578	3.3198237572e-05
2456896.01693	1.00017331182	4.2356696186e-05	1.00009621563	7.70887758401e-05
2456896.0187	1.00007556665	4.05776474662e-05	1.00009366754	-1.80991939767e-05
2456896.02047	1.00011938866	4.23569994037e-05	1.00009117113	2.82149596796e-05
2456896.02224	1.00006011255	4.05773740805e-05	1.000088726	-2.86109116597e-05
2456896.02401	1.00014928394	4.23566300222e-05	1.00008633175	6.29467615085e-05
2456896.02578	1.00013040807	4.05772679121e-05	1.00008398796	4.64162143507e-05
2456896.02756	1.00002485801	4.23565946789e-05	1.00008169421	-5.68315587798e-05
2456896.02933	1.00002494434	4.05773154875e-05	1.00007945008	-5.45014060508e-05
2456896.03111	1.00005496326	4.23562334542e-05	1.00007724287	-2.22778910563e-05
2456896.03288	1.00011195498	4.05765449412e-05	1.00007509694	3.68552800506e-05
2456896.03465	1.00023299451	4.23553129029e-05	1.0000729993	0.000159983526804
